Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
LIMAF,Linamar Corp,Auto Parts,Consumer Cyclical,6.71,5.80,10.86,9.40,5.62,7.81,2.29,38.8500,15846,139242
5026.KL,MHC Plantations Bhd,Farm Products,Consumer Defensive,0.14,7.07,8.47,6.47,3.71,21.68,0.34,0.985,83543,255600
7034.KL,Thong Guan Industries Bhd,Packaging & Containers,Consumer Cyclical,0.17,8.41,7.29,9.05,4.98,10.00,0.81,1.42,276552,99900
G92.SI,China Aviation Oil (Singapore) Corp Ltd,Oil & Gas Refining & Marketing,Energy,0.13,6.88,8.70,4.83,4.21,54.56,,0.900,336456,176300
ENRGA.PR,Energoaqua a.s.,Utilities - Diversified,Utilities,500,6.41,9.58,6.91,8.12,1242,0.95,3200.00,15.9,20
9199.KL,Lysaght Galvanized Steel Bhd,Steel,Basic Materials,0.35,7.40,7.95,12.43,7.58,446,0.91,2.59,9323.81,11000
0869.HK,Playmates Toys Ltd,Leisure,Consumer Cyclical,0.19,3.21,20.15,62.67,15.68,155,,0.61,342136,64000
200512.SZ,Tsann Kuen (China) Enterprise Co Ltd B,Furnishings Fixtures & Appliances,Consumer Cyclical,0.45,8.58,7.39,7.96,3.07,4.25,0.41,3.86,234896,97800
ELFIF,E-L Financial Corp Ltd,Insurance - Life,Financial Services,332,2.98,24.15,7.94,6.96,120,,988.7399,170.67,30
MFEA.MC,MFE-Mediaforeurope N.V.,Broadcasting,Communication Services,0.42,7.20,8.28,5.56,4.64,10.72,,2.96,2897.29,1000
ADOOY,Alamtri Resources Indonesia ADR,Thermal Coal,Energy,2.61,2.84,22.72,22.53,15.29,25.52,0.06,7.1000,5273,1222
IBG.MC,Iberpapel Gestion S.A.,Paper & Paper Products,Basic Materials,2.57,7.24,8.50,19.09,6.98,234,0.68,18.40,4043.86,4196
O08.SI,Ossia International Ltd,Apparel Retail,Consumer Cyclical,0.03,4.53,14.03,3.96,12.09,31.85,0.37,0.136,28591,3000
ASGR.JK,Astra Graphia,Specialty Business Services,Industrials,124,6.77,9.16,13.33,6.32,38.70,,840.00,415004,248400
0146.HK,Tai Ping Carpets International Ltd,Textile Manufacturing,Consumer Cyclical,0.20,6.50,9.55,6.81,5.20,11.27,,1.30,177238,107000
200581.SZ,Weifu High-Technology Group Co Ltd B,Auto Parts,Consumer Cyclical,1.97,6.64,9.26,3.71,6.44,22.69,,13.08,224861,282612
5CF.SI,OKP Holdings Ltd,Engineering & Construction,Industrials,0.07,4.93,12.92,14.23,8.13,12.51,0.18,0.345,47476,83400
MAGN.ME,Magnitogorsk Iron & Steel Works,Steel,Basic Materials,10.59,3.31,19.82,20.24,14.39,24.86,0.31,35.09,34536992,38291480
MFEA.MI,MFE-MediaForEurope N.V. Cl A,Broadcasting,Communication Services,0.41,7.66,8.28,5.56,4.64,10.72,,3.14,463014,1656678
ADRO.JK,Alamtri Resources Indonesia,Thermal Coal,Energy,851,2.74,22.69,22.50,15.27,25.52,0.06,2330.00,59190016,28462100
SAFE.L,Safestore Holdings Plc,REIT - Industrial,Real Estate,170,3.61,18.00,3.96,11.84,5.21,0.96,616.50,720356,419165
RALS.JK,Ramayana Lestari Sentosa,Department Stores,Consumer Cyclical,50.30,7.24,8.38,8.21,6.25,6.21,1.76,364.00,2621884,2284000
WWI.OL,Wilhelm Wilhelmsen Holding ASA,Marine Shipping,Industrials,124,3.30,18.26,2.36,12.06,2.49,,412.00,20184,16503
S56.SI,Samudera Shipping Line Ltd,Marine Shipping,Industrials,0.14,5.89,10.25,10.12,6.34,3.99,0.07,0.825,426939,83900
ELF.TO,E-L Financial Corp Ltd,Insurance - Life,Financial Services,479,2.97,24.11,7.93,6.95,119,,1400.75,685.81,966
T12.SI,Tat Seng Packaging Group Ltd,Packaging & Containers,Consumer Cyclical,0.13,6.00,10.71,10.89,6.60,21.54,2.25,0.795,13610,42200
CAI.MI,Cairo Communication S.p.A.,Publishing,Communication Services,0.33,7.74,8.20,5.12,3.42,5.82,,2.55,168725,122395
AEP.L,Anglo-Eastern Plantations Plc,Farm Products,Consumer Defensive,120,5.65,12.68,14.63,10.72,1096,0.20,676.00,11549,8464
GGB,Gerdau S/A ADR,Steel,Basic Materials,0.39,7.46,9.15,8.32,6.10,8.54,0.23,2.91,8294388,18296672
GGB.IX,Gerdau S/A ADR,Steel,Basic Materials,0.39,7.46,9.15,8.32,6.10,8.54,0.23,2.91,8022105,18070316
ASRM.JK,Asuransi Ramayana,Insurance - Property & Casualty,Financial Services,64.51,5.24,11.48,5.64,4.24,15.78,2.34,340.00,29219,5300
MTLA.JK,Metropolitan Land,Real Estate Services,Real Estate,56.28,7.04,9.93,9.89,6.54,189,,396.00,276759,25100
0590.HK,Luk Fook Holdings International Ltd,Luxury Goods,Consumer Cyclical,2.14,6.68,9.80,9.59,7.57,22.52,1.07,14.30,537767,422000
1627.HK,Able Engineering Holdings Ltd,Engineering & Construction,Industrials,0.12,4.33,15.45,8.43,4.67,6.97,0.17,0.52,102130,24000
AEPLF,Anglo-Eastern Plantations Plc,Farm Products,Consumer Defensive,1.49,5.50,12.69,14.65,10.73,1112,0.20,8.2000,3641.11,1200
1702.HK,Dongguang Chemical Ltd,Chemicals,Basic Materials,0.36,5.53,12.04,17.55,10.45,145,2.24,1.99,,20000
1997.T,Akatsuki Eazima Co Ltd,Engineering & Construction,Industrials,276,8.17,8.55,11.78,5.67,85.66,,2241.00,2547.62,200
AIAGY,Aurubis AG ADR,Metal Fabrication,Industrials,4.98,7.40,9.57,6.53,5.53,14.12,1.23,36.8500,299.05,273
0552.HK,China Communications Services Corp Ltd,Telecom Services,Communication Services,0.57,7.75,8.60,7.17,2.98,23.93,1.34,4.42,5645522,2173000
PXGYF,Pax Global Technology Ltd,Business Equipment & Supplies,Industrials,0.11,5.30,12.91,19.45,10.54,181,0.32,0.5830,19562,69000
1339.HK,People`s Insurance Co (Group) of China Ltd,Insurance - Property & Casualty,Financial Services,0.93,4.28,16.10,4.74,2.53,19.84,0.95,3.98,34873012,5694170
0598.HK,Sinotrans Ltd,Integrated Freight & Logistics,Industrials,0.58,6.40,10.35,4.90,4.99,7.25,1.33,3.71,8907373,615000
1100.HK,Mainland Headwear Holdings Ltd,Footwear & Accessories,Consumer Cyclical,0.20,8.10,8.03,3.87,4.90,4.92,0.50,1.62,16456,35550
PADEF,Alamtri Resources Indonesia,Thermal Coal,Energy,0.05,3.18,22.72,22.53,15.29,25.52,0.06,0.1592,35753,200
564.SI,Spindex Industries Ltd,Tools & Accessories,Industrials,0.13,7.23,9.83,11.37,7.33,138,1.88,0.940,10319,31000
7091.KL,Unimech Group Bhd,Metal Fabrication,Industrials,0.17,8.71,7.27,7.69,4.51,6.23,1.66,1.48,13776,500
